epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3335.56,0.10713,0.16942,0.77863,0.99991,1,0.995,0.995,0.04616,0.08724,0.88079,0.000167088,0.000167088,0.000167088
69,3384.47,0.10433,0.16726,0.7773,0.99991,1,0.995,0.995,0.04206,0.0868,0.88087,0.00016585,0.00016585,0.00016585
70,3433.31,0.1055,0.16654,0.77808,0.99989,1,0.995,0.995,0.05354,0.0903,0.87978,0.000164612,0.000164612,0.000164612
71,3481.99,0.1058,0.16906,0.77843,0.99991,1,0.995,0.995,0.05147,0.08437,0.88145,0.000163375,0.000163375,0.000163375
72,3530.46,0.10379,0.16393,0.77827,0.99991,1,0.995,0.995,0.04528,0.08148,0.88082,0.000162138,0.000162138,0.000162138
73,3579.31,0.10473,0.16697,0.78011,0.99991,1,0.995,0.995,0.04415,0.08187,0.88178,0.0001609,0.0001609,0.0001609
74,3628.22,0.10233,0.16305,0.77718,0.9999,1,0.995,0.995,0.03985,0.07196,0.88055,0.000159663,0.000159663,0.000159663
75,3677.14,0.10262,0.16497,0.77969,0.99989,1,0.995,0.995,0.03899,0.07913,0.87932,0.000158425,0.000158425,0.000158425
76,3725.77,0.10399,0.16307,0.77971,0.99991,1,0.995,0.995,0.04655,0.08635,0.88089,0.000157188,0.000157188,0.000157188
77,3774.95,0.10236,0.16147,0.77857,0.99992,1,0.995,0.995,0.04107,0.07872,0.88009,0.00015595,0.00015595,0.00015595
78,3823.37,0.10122,0.15984,0.77884,0.99991,1,0.995,0.995,0.03897,0.07444,0.8796,0.000154712,0.000154712,0.000154712
79,3872.21,0.10261,0.15751,0.77817,0.99993,1,0.995,0.995,0.04392,0.07722,0.88076,0.000153475,0.000153475,0.000153475
80,3921.16,0.10229,0.15729,0.77754,0.99994,1,0.995,0.995,0.04367,0.07764,0.88122,0.000152238,0.000152238,0.000152238
81,3970.02,0.10065,0.15701,0.77777,0.99993,1,0.995,0.995,0.04349,0.0776,0.88111,0.000151,0.000151,0.000151
82,4019.02,0.10168,0.16161,0.77907,0.99992,1,0.995,0.995,0.0377,0.0737,0.88039,0.000149762,0.000149762,0.000149762
83,4067.85,0.10048,0.1596,0.77675,0.99993,1,0.995,0.995,0.03951,0.07104,0.88015,0.000148525,0.000148525,0.000148525
84,4116.69,0.09994,0.15855,0.7778,0.99993,1,0.995,0.995,0.03839,0.07439,0.88075,0.000147287,0.000147287,0.000147287
85,4165.51,0.09928,0.15519,0.77946,0.99992,1,0.995,0.995,0.03841,0.07289,0.88016,0.00014605,0.00014605,0.00014605
86,4214.43,0.09805,0.15407,0.77714,0.99993,1,0.995,0.995,0.04124,0.0758,0.88237,0.000144812,0.000144812,0.000144812
87,4263.2,0.09949,0.155,0.77795,0.99992,1,0.995,0.995,0.0391,0.07283,0.88002,0.000143575,0.000143575,0.000143575
88,4312.05,0.09721,0.1535,0.77852,0.99993,1,0.995,0.995,0.03665,0.06915,0.88088,0.000142337,0.000142337,0.000142337
89,4360.79,0.09726,0.15225,0.77967,0.99994,1,0.995,0.995,0.04284,0.07288,0.88043,0.0001411,0.0001411,0.0001411
90,4409.3,0.0999,0.15215,0.77647,0.99994,1,0.995,0.995,0.03733,0.07276,0.88076,0.000139862,0.000139862,0.000139862
91,4458.66,0.09557,0.1509,0.77684,0.99994,1,0.995,0.995,0.0373,0.06786,0.88019,0.000138625,0.000138625,0.000138625
92,4507.38,0.09607,0.15262,0.77774,0.99995,1,0.995,0.995,0.04055,0.07572,0.8808,0.000137387,0.000137387,0.000137387
93,4556.13,0.09437,0.14795,0.77863,0.99995,1,0.995,0.995,0.03935,0.07159,0.88094,0.00013615,0.00013615,0.00013615
94,4604.86,0.09561,0.14982,0.77542,0.99992,1,0.995,0.995,0.03989,0.06814,0.88059,0.000134913,0.000134913,0.000134913
95,4653.8,0.09483,0.14627,0.77641,0.99993,1,0.995,0.995,0.04146,0.07568,0.88144,0.000133675,0.000133675,0.000133675
96,4702.25,0.09522,0.1487,0.77643,0.99995,1,0.995,0.995,0.0423,0.07421,0.88084,0.000132438,0.000132438,0.000132438
97,4750.95,0.09335,0.14581,0.77862,0.99996,1,0.995,0.995,0.04136,0.06697,0.88103,0.0001312,0.0001312,0.0001312
98,4799.56,0.09326,0.14702,0.77812,0.99995,1,0.995,0.995,0.04509,0.07034,0.88085,0.000129963,0.000129963,0.000129963
99,4848.25,0.09737,0.14881,0.7792,0.99994,1,0.995,0.995,0.04735,0.07385,0.88072,0.000128725,0.000128725,0.000128725
100,4897,0.09321,0.14825,0.77689,0.99996,1,0.995,0.995,0.03764,0.06596,0.88078,0.000127488,0.000127488,0.000127488
101,4945.76,0.09099,0.14336,0.77658,0.99994,1,0.995,0.995,0.03543,0.06565,0.8806,0.00012625,0.00012625,0.00012625
102,4994.65,0.09286,0.14602,0.77814,0.99994,1,0.995,0.995,0.0425,0.06798,0.88042,0.000125013,0.000125013,0.000125013
103,5043.21,0.09373,0.14408,0.77567,0.99994,1,0.995,0.995,0.03624,0.06649,0.88081,0.000123775,0.000123775,0.000123775
104,5091.67,0.09068,0.14239,0.77657,0.99995,1,0.995,0.995,0.04083,0.07053,0.88036,0.000122537,0.000122537,0.000122537
105,5140.18,0.09126,0.14405,0.77896,0.99995,1,0.995,0.995,0.03615,0.06545,0.87994,0.0001213,0.0001213,0.0001213
106,5188.55,0.09093,0.14346,0.7785,0.99996,1,0.995,0.995,0.03611,0.06541,0.88075,0.000120063,0.000120063,0.000120063
107,5237.22,0.09006,0.14161,0.77753,0.99996,1,0.995,0.995,0.03224,0.06357,0.87978,0.000118825,0.000118825,0.000118825
108,5286.22,0.09099,0.14327,0.77897,0.99995,1,0.995,0.995,0.0343,0.06972,0.88099,0.000117588,0.000117588,0.000117588
109,5335.06,0.08984,0.14194,0.77727,0.99994,1,0.995,0.995,0.03009,0.06216,0.88041,0.00011635,0.00011635,0.00011635
110,5383.82,0.0883,0.13799,0.77782,0.99994,1,0.995,0.995,0.03192,0.06248,0.87957,0.000115112,0.000115112,0.000115112
111,5432.77,0.09014,0.14144,0.77741,0.99995,1,0.995,0.995,0.0309,0.0587,0.87903,0.000113875,0.000113875,0.000113875
112,5481.43,0.08933,0.13949,0.77654,0.99997,1,0.995,0.995,0.03236,0.06408,0.87957,0.000112637,0.000112637,0.000112637
113,5530.21,0.08814,0.1376,0.77818,0.99995,1,0.995,0.995,0.03509,0.06329,0.8799,0.0001114,0.0001114,0.0001114
114,5578.97,0.08922,0.13845,0.77702,0.99995,1,0.995,0.995,0.03474,0.06828,0.88001,0.000110163,0.000110163,0.000110163
115,5627.65,0.08787,0.1382,0.77737,0.99997,1,0.995,0.995,0.04264,0.07057,0.88049,0.000108925,0.000108925,0.000108925
116,5676.65,0.08723,0.1373,0.77687,0.99997,1,0.995,0.995,0.0309,0.06196,0.8798,0.000107688,0.000107688,0.000107688
